Time (hrs),Bacillus safensis,Bacillus safensis (std),Microbacterium arborescens,Microbacterium arborescens (std),Empty,Empty (std)
43.5013611111,0.2639000118,0.0234999992,0.9096000195,0.4307000041,0.1280999929,0.0680000037
43.7513611111,0.2646999955,0.0237000007,0.9096999764,0.4329999983,0.1282999963,0.0680000037
44.0013888889,0.2653000057,0.0233999994,0.9147999883,0.4330999851,0.1279000044,0.0675000027
44.2513888889,0.2664999962,0.0238000005,0.9176999927,0.4359999895,0.1290999949,0.0698999986
44.5013888889,0.2675000131,0.0242999997,0.9174000025,0.4384000003,0.1294,0.0711999983
44.7514166667,0.2678999901,0.0236000009,0.9215000272,0.4381999969,0.1275999993,0.066399999
45.0014166667,0.2685000002,0.0234999992,0.924399972,0.4395999908,0.1284999996,0.068599999
45.2514166667,0.2691000104,0.0239000004,0.9251000285,0.4422000051,0.1283999979,0.0700000003
45.5014166667,0.2705999911,0.0241999999,0.9282000065,0.4440000057,0.1294,0.0707999989
45.7514444444,0.2714999914,0.0248000007,0.9298999906,0.4463999867,0.1288000047,0.0694999993
46.0014444444,0.2725999951,0.0247000009,0.9333000183,0.4444999993,0.1289999932,0.0697000027
46.2514444444,0.272300005,0.0237000007,0.9338999987,0.4472999871,0.1274999976,0.0659999996
46.5014722222,0.2732999921,0.0241,0.9345999956,0.4494999945,0.1272999942,0.0649000034
46.7514722222,0.2737999856,0.0239000004,0.9373000264,0.451000005,0.1274999976,0.065700002
47.0014722222,0.2745000124,0.0238000005,0.9391999841,0.454400003,0.1275999993,0.065700002
47.2514722222,0.274300009,0.0234999992,0.9412999749,0.453700006,0.1274999976,0.0656000003
47.5015,0.275000006,0.0237000007,0.9401999712,0.4555000067,0.1280000061,0.0666000023
47.7515,0.2752000093,0.0232999995,0.9422000051,0.456099987,0.1271000057,0.0644000024
48.0015,0.2757999897,0.023,0.9409000278,0.4607000053,0.126699999,0.0631000027
48.2515277778,0.2761000097,0.0233999994,0.9387999773,0.458799988,0.1273999959,0.0644000024
48.5015277778,0.2763999999,0.0233999994,0.9366000295,0.4611000121,0.1265999973,0.061999999
48.7515277778,0.2772000134,0.0233999994,0.9375,0.4639999866,0.1257999986,0.0593000017
49.0015277778,0.27700001,0.0229000002,0.9355000257,0.4634000063,0.1248999983,0.0579999983
49.2515555556,0.2781000137,0.0230999999,0.9336000085,0.4627999961,0.1257999986,0.0582999997
49.5015555556,0.2784000039,0.0233999994,0.9318000078,0.4656000137,0.1254999936,0.0584999993
49.7515555556,0.2786000073,0.0230999999,0.9370999932,0.4690999985,0.1248999983,0.0560000017
50.0015555556,0.279700011,0.0237000007,0.9345999956,0.4708999991,0.1248999983,0.0566000007
50.2515833333,0.280400008,0.0237000007,0.9307000041,0.470600009,0.126000002,0.057
50.5015833333,0.2806999981,0.0236000009,0.9391999841,0.4769000113,0.1248999983,0.0538999997
50.7515833333,0.2816999853,0.0238000005,0.9352999926,0.4729000032,0.1265999973,0.0577000007
51.0016111111,0.2818000019,0.0233999994,0.9355000257,0.4758999944,0.1247999966,0.0546000004
51.2516111111,0.2824999988,0.0234999992,0.9422000051,0.4790000021,0.1242000014,0.0527000017
51.5016111111,0.282799989,0.0231999997,0.9437999725,0.4767000079,0.1238999963,0.0529000014
51.7516388889,0.2842000127,0.0237000007,0.9419999719,0.4781000018,0.125,0.0538999997
52.0016388889,0.2842999995,0.0229000002,0.9495000243,0.4808000028,0.1238999963,0.0524999984
52.2516388889,0.284799993,0.023,0.9527999759,0.4781999886,0.1226999983,0.0515000001
52.5016388889,0.28549999,0.0232999995,0.9545999765,0.4792999923,0.124499999,0.0549000017
52.7516666667,0.2865999937,0.0239000004,0.956099987,0.4821999967,0.1237000003,0.0549000017
53.0016666667,0.2867000103,0.0236000009,0.9624000192,0.4842000008,0.1252000034,0.0577999987
53.2516666667,0.2872999907,0.0232999995,0.9635000229,0.4844999909,0.1240999997,0.0546000004
53.5016666667,0.288199991,0.0239000004,0.9635000229,0.4815999866,0.1243999973,0.0557000004
53.7516944444,0.2888000011,0.0237000007,0.9682000279,0.4851999879,0.125,0.0582999997
54.0016944444,0.2894999981,0.0239000004,0.9725999832,0.4880999923,0.123800002,0.0562999994
54.2516944444,0.2901000082,0.0239000004,0.9749000072,0.4875000119,0.1240999997,0.0568999983
54.5017222222,0.2908000052,0.0240000002,0.9754999876,0.4876999855,0.1240999997,0.0571999997
54.7517222222,0.2910999954,0.0239000004,0.9797000289,0.4900000095,0.125,0.0601999983
55.0017222222,0.2922999859,0.0241999999,0.9803000093,0.4902999997,0.1252000034,0.0604000017
55.2517222222,0.2924999893,0.0240000002,0.9811999798,0.4905000031,0.1253000051,0.0617999993
55.50175,0.2935000062,0.0245999992,0.9854000211,0.4905000031,0.1259000003,0.0632999986
55.75175,0.2935000062,0.0242999997,0.9847999811,0.4921999872,0.1254000068,0.061900001
56.00175,0.293900013,0.0241,0.9883000255,0.4911000133,0.1261000037,0.0643000007
56.2517777778,0.2948000133,0.0245999992,0.9893000126,0.4918000102,0.1268000007,0.0659999996
56.5017777778,0.2949999869,0.0242999997,0.9897999763,0.4927000105,0.1265999973,0.0648000017
56.7517777778,0.2955000103,0.0241999999,0.9901999831,0.4921999872,0.1263999939,0.0644000024
57.0018055556,0.2960000038,0.0247000009,0.9908999801,0.4927999973,0.1259000003,0.0628999993
57.2518055556,0.2964000106,0.0244999994,0.9930999875,0.4916999936,0.1271000057,0.0662999973
57.5018055556,0.2969999909,0.0250000004,0.9914000034,0.4955999851,0.1274999976,0.0671999976
57.7518055556,0.2971000075,0.0245999992,0.9930999875,0.4934999943,0.1262000054,0.0639000013
58.0018333333,0.2976000011,0.0248000007,0.9926999807,0.4968000054,0.126000002,0.063699998
58.2518333333,0.2978999913,0.0249000005,0.9925000072,0.4970999956,0.1262000054,0.064199999
58.5018333333,0.2982000113,0.0243999995,0.994599998,0.4952000082,0.1263999939,0.0643000007
58.7518333333,0.2984000146,0.0245999992,0.9921000004,0.4981999993,0.126699999,0.065200001
59.0018611111,0.2985999882,0.0244999994,0.9926999807,0.4970000088,0.1264999956,0.065200001
59.2518611111,0.2989000082,0.0241999999,0.99150002,0.4986000061,0.1254000068,0.0617000014
59.5018611111,0.2992999852,0.0243999995,0.9951000214,0.4990999997,0.1262000054,0.0634000003
59.7518888889,0.2992999852,0.0241999999,0.9940999746,0.5006999969,0.1254999936,0.061999999
60.0018888889,0.2996000051,0.0243999995,0.9929000139,0.5001999736,0.1253000051,0.0626000017
60.2518888889,0.2998000085,0.0241999999,0.9918000102,0.5036000013,0.1259000003,0.063000001
60.5018888889,0.3001999855,0.0241999999,0.9911999702,0.5044000149,0.1255999953,0.0621000007
60.7519166667,0.3005000055,0.0244999994,0.9912999868,0.5047000051,0.123999998,0.057599999
61.0019166667,0.3005000055,0.0241,0.9898999929,0.5044000149,0.123300001,0.0562000014
61.2519166667,0.3010999858,0.0245999992,0.9880999923,0.5056999922,0.1243999973,0.0588000007
61.5019166667,0.3012000024,0.0241999999,0.9855999947,0.5047000051,0.123999998,0.0571000017
61.7519444444,0.3007999957,0.0243999995,0.9786999822,0.5034000278,0.1235999987,0.0560000017
62.0019444444,0.3014000058,0.0242999997,0.9800999761,0.505400002,0.123300001,0.0546000004
62.2519444444,0.3023999929,0.0249000005,0.9703999758,0.5001999736,0.123999998,0.0571000017
62.5019722222,0.3018000126,0.0241,0.9761000276,0.5051000118,0.1229000017,0.0518999994
62.7519722222,0.3018000126,0.0241999999,0.976000011,0.5066999793,0.1221000031,0.0502000004
63.0019722222,0.3019999862,0.0240000002,0.9704999924,0.5055999756,0.1225999966,0.050999999
63.252,0.3021000028,0.0240000002,0.9733999968,0.5109999776,0.1229000017,0.0509000011
63.502,0.3025999963,0.0241999999,0.9763000011,0.5124999881,0.1216999963,0.0483000018
63.752,0.3027999997,0.0241999999,0.9728000164,0.5110999942,0.1228,0.0507000014
64.002,0.3028999865,0.0241,0.9771000147,0.510800004,0.1212000027,0.0478999987
