Well,Mean,StDev,0;4,1;4,2;4,3;4,4;4,4;3,3;3,2;3,1;3,0;3,0;2,1;2,2;2,3;2,4;2,4;1,3;1,2;1,1;1,0;1,0;0,1;0,2;0,3;0,4;0
H4,0.6754999757,0.1937000006,0.7583000064,0.530099988,0.6601999998,0.7077000141,1.2946000099,0.8738999963,0.6638000011,0.8784000278,0.4526999891,0.3544000089,0.4799999893,0.9024000168,0.7189999819,0.5781999826,0.7124999762,0.5788000226,0.5606999993,0.6603999734,0.5052000284,0.6190999746,0.6754000187,0.7443000078,0.4846999943,0.5957999825,0.8974000216
A5,0.72299999,0.2028000057,1.2769999504,0.7493000031,0.6967999935,0.7946000099,1.2671999931,0.84799999,0.842599988,0.6571999788,0.6121000051,0.9498999715,0.6323000193,0.5055999756,0.5816000104,0.622699976,0.7329000235,0.6112999916,0.7357000113,0.5565999746,0.5735999942,0.6122000217,0.6201999784,0.5048999786,0.6685000062,0.5417000055,0.8802999854
B5,1.1977000237,0.1322000027,1.3952000141,1.3271000385,1.1352000237,1.141800046,1.4858000278,1.2553999424,1.0369999409,1.0602999926,1.1160000563,1.3184000254,1.3173999786,1.3279999495,1.0001000166,1.2339999676,1.1404999495,1.0128999949,1.2261999846,1.1144000292,1.3640999794,1.2700999975,1.0449999571,1.1917999983,1.0753999949,1.0889999866,1.2625999451
C5,1.1995999813,0.2269999981,1.4040000439,1.2279000282,1.0784000158,1.1262999773,1.5915000439,1.3013999462,1.5419000387,1.0635000467,1.1452000141,1.0070999861,0.8748000264,0.8151999712,1.1973999739,1.0206999779,1.1578999758,1.3320000172,1.0724999905,0.9067999721,0.9254999757,1.0303000212,1.5478999615,1.5376000404,1.4350999594,1.2979999781,1.3517999649
D5,1.0720000267,0.1464000046,1.325799942,1.1507999897,1.0003000498,1.1562000513,1.3982000351,1.0878000259,1.1239999533,0.9046000242,0.9244999886,1.0985000134,1.2894999981,0.9781000018,1.0089000463,0.8690999746,0.9531999826,1.0267000198,0.8438000083,0.9736999869,1.0413999557,1.2883000374,1.1421999931,1.0602999926,1.0117000341,0.9369000196,1.2065000534
E5,1.3253999949,0.1172000021,1.3741999865,1.466899991,1.4169000387,1.4715000391,1.4268000126,1.3028999567,1.3790999651,1.3650000095,1.299200058,1.4024000168,1.1840000153,1.2918000221,1.4470000267,1.3465000391,1.2192000151,1.1829999685,1.3043999672,1.431499958,1.2178000212,1.0046000481,1.1540999413,1.2243000269,1.4287999868,1.3738000393,1.4198999405
F5,1.769299984,0.1601999998,1.8171999454,2.0294001102,2.0367999077,1.9323999882,1.7709000111,1.7596000433,1.8054000139,1.9648000002,1.9133000374,1.994699955,1.9451999664,1.7380000353,1.8273999691,1.6670000553,1.8624000549,1.5886000395,1.6095000505,1.5161999464,1.5095000267,1.6512000561,1.7405999899,1.6021000147,1.5808000565,1.6958999634,1.6733000278
G5,2.1149001122,0.1407999992,1.8099999428,2.070100069,2.0924999714,1.909700036,1.8648999929,1.9536999464,2.2850000858,2.26060009,2.1566998959,2.0769000053,2.0176000595,2.1043000221,2.2414999008,2.3422000408,1.9003000259,2.1449999809,2.2918999195,2.2054998875,2.2490000725,2.1879000664,2.1517000198,2.1833000183,2.1503999233,2.1421000957,2.078799963
H5,1.0420999527,0.1294,1.198300004,1.032400012,1.0022000074,1.1079000235,1.5204999447,1.0722999573,0.8253999949,0.9778000116,0.9988999963,0.9799000025,0.9233000278,0.9609000087,0.9611999989,0.912899971,1.073300004,1.0917999744,1.022300005,1.0451999903,0.9524999857,0.9955999851,1.0868999958,1.0413000584,1.0535999537,1.0176999569,1.1984000206
A6,0.9503999949,0.2370000035,1.3279999495,0.9793999791,0.7603999972,1.129799962,1.3457000256,1.2555999756,0.877300024,0.8684999943,0.8269000053,0.943599999,1.0255000591,0.4630999863,0.5228999853,0.6500999928,0.8952000141,0.9441000223,1.0413999557,0.6711999774,0.8367000222,1.1704000235,0.9793999791,0.8266999722,1.0398999453,1.0226999521,1.3552000523
